StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
115712,116076,221345,8930,,14    And,,23.52144376,39.23640180,76.3941940412529,287.30,-83.78,-59,5.22,0.804698232753779,K0III,1.029,58.70679,-7.39385,48.32097,-1.3603e-05,0.000108951,-6.2198e-05
103196,103527,199665,8030,,18    Del,,20.9738786,10.83936950,73.0994152046784,-47.95,-34.35,0,5.51,1.19043048692049,G6III:,0.934,50.41851,-51.11285,13.7468,-1.0489e-05,-1.3562e-05,-1.1955e-05
46339,46471,81688,3743,,,,9.47777629,45.60179470,88.261253309797,-6.40,-128.20,39,5.40,0.671149549316986,K0III-IV,0.993,-48.77096,37.87613,63.06218,-5.1314e-05,4.3318e-05,-9.878e-06
90066,90344,170693,6945,,42    Dra,,18.43305219,65.56354628,97.2762645914397,106.52,-27.07,32,4.82,-0.120034426703715,K2III,1.179,4.55253,-39.98326,88.56231,5.2755e-05,-1.9316e-05,2.4514e-05
53565,53721,95128,4277,Gl 407,47    UMa,,10.99117105,40.43012281,14.0765765765766,-315.92,55.15,11.6,5.03,4.28751476385272,G0V,0.624,-10.3435,2.79717,9.12894,-7.33e-07,2.253e-05,1.0558e-05
112998,113357,217014,8729,Gl 882,51    Peg,,22.95773629,20.76868410,15.3609831029186,208.06,60.96,-33.7,5.45,4.51790494284096,G5V,0.666,13.83143,-3.87064,5.44694,-2.8408e-05,2.4038e-05,-7.976e-06
43464,43587,75732,3522,Gl 324  A,55Rho1Cnc,,8.87670358,28.33138843,12.531328320802,-485.48,-234.40,27.2,5.96,5.47001445675365,G8V,0.869,-7.54381,8.04725,5.94699,1.48e-07,4.2964e-05,6.67e-07
16496,16537,22049,1084,Gl 144,18Eps Eri,,3.549006,-09.45830584,3.21802091713596,-976.44,17.97,16.9,3.72,6.18205568656841,K2V,0.881,1.8999,2.5429,-0.52881,2.2434e-05,4.577e-06,-2.563e-06
20837,20889,28305,1409,,74Eps Tau,,4.47692591,19.18052092,47.5285171102662,107.23,-36.77,39,3.53,0.145228677408507,K0III,1.014,17.42892,41.36853,15.61528,-7.06e-06,4.6874e-05,5.102e-06
116362,116727,222404,8974,Gl 903,35Gam Cep,,23.65582834,77.63196681,13.7931034482759,-48.85,127.18,-43.1,3.21,2.51169003285497,K1IV,1.031,2.94236,-0.26583,13.47299,-1.7969e-05,-1.656e-06,-4.1234e-05
58778,58952,104985,4609,,,,12.08742742,76.90595813,102.040816326531,147.22,-92.36,-20,5.78,0.736130378462476,G9III,1.029,-23.11129,-0.52907,99.3877,-3.8188e-05,-7.3717e-05,-3.0273e-05
80594,80838,149026,,,,,16.50824349,38.34717994,78.8643533123028,-77.12,53.34,,8.15,3.66559626772857,G0,0.611,-23.54582,-57.19346,48.92941,-2.2447e-05,2.2923e-05,1.5993e-05
75230,75458,137759,5744,,12Iot Dra,,15.41549558,58.96602354,31.328320802005,-8.27,17.30,-11,3.29,0.81031441339346,K2III,1.166,-10.11327,-12.59296,26.84403,4.062e-06,7.063e-06,-8.285e-06
86530,86796,160691,6585,Gl 691,Mu  Ara,,17.73575474,-51.83358836,15.2765047357165,-15.06,-191.17,-9,5.12,4.19988000485993,G5V,0.694,-0.65253,-9.41749,-12.01068,4.9e-08,1.6855e-05,-1.511e-06
7499,7513,9826,458,Gl  61,50Ups And,,1.61332694,41.40638491,13.4680134680135,-172.57,-381.01,-28.7,4.10,3.45348228994625,F8V,0.536,9.2138,4.14082,8.90768,-4.55e-07,-1.2557e-05,-3.8071e-05	
97628,97938,188310,7595,,59Xi  Aql,,19.90411715,08.46165027,62.65664160401,101.43,-81.28,-42,4.71,0.725164435073554,K0III,1.023,29.6304,-54.43243,9.21976,8.482e-06,4.8855e-05,-3.074e-05